country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
AT,2018,ren_mun_waste,"7631,364095999999","0,0","0,0","7631,364095999999","0,0"
CZ,2018,ren_mun_waste,"3668,809104","0,0","0,0","3668,809104","0,0"
DK,2018,ren_mun_waste,"18459,308124","2681,8128720000004","0,0","21141,120996","0,12685291723685851"
NL,2018,ren_mun_waste,"31257,183420000005","9074,009772","1674,385056","38656,808136","0,19141840914457026"
PL,2018,ren_mun_waste,"4116,754836","0,0","0,0","4116,754836","0,0"
SK,2018,ren_mun_waste,"628,9829639999999","0,0","0,0","628,9829639999999","0,0"
