Rok,Belgie,Bulharsko,Chorvatsko,Dánsko,Estonsko,Finsko,Francie,Irsko,Itálie,Kypr,Litva,Lotyšsko,Lucembursko,Malta,Maďarsko,Nizozemsko,Německo,Polsko,Portugalsko,Rakousko,Rumunsko,Slovensko,Slovinsko,Česko,Řecko,Španělsko,Švédsko
2002,28346.980607999998,26769.017556,43865.019864000016,69169.20170399999,22918.291992,292090.469148,400732.52817600005,6242.602536,132742.28466,516.9860639999999,30559.704408,44056.565964,1236.5295119999998,0.0,32373.80298,62195.918832,303891.17428800004,164661.6105,115218.391392,121985.97678,98477.429724,11786.511887999999,22816.636488,72605.18286,41723.052983999994,176862.95053200005,308707.920216
2003,35113.686768000014,28538.987256000004,50698.00306800001,78701.70794400001,24086.827872,295242.501528,424164.875472,6058.550808,203210.901612,604.9926,31941.180936000004,46886.005404,1462.072428,0.0,33739.53714,59282.366579999994,429459.75396,166789.63533599998,115339.64112,126972.078768,119058.608088,14156.952444,25428.236724000002,71296.17984000001,39403.523916000006,193688.820504,325832.93704800005
2004,38901.275388,29621.986812000006,49787.080992,86527.33956000001,24945.205608000004,310402.44378000003,432107.193204,7187.144616000001,180444.88353599998,556.802532,33665.598251999996,49521.72160800001,1657.5541200000002,0.0,35901.558792,68960.322252,488746.60041600006,172360.17273600007,117275.57557200002,128553.433128,131216.698476,15423.082632,25163.463492000006,76443.01307999999,39903.260364,197991.594864,332264.82481200004
2005,46704.926304,28980.987732,52238.871072,94692.562524,24355.45296,296555.02146,457780.567068,9072.669995999999,253224.65595600003,516.399912,35133.867143999996,49734.494783999995,2518.653276,0.0,67311.30920399999,88970.462964,588446.57574,178559.98617600003,119244.543876,154127.95664400002,133346.942316,16783.122744,29706.183360000003,78234.461064,41472.55674,206199.81626400002,343611.55522800004
2006,55181.43784800001,31053.286260000004,48550.17466800001,96245.32104,21936.822336,327295.59562800004,421888.470444,9274.724964,290972.88662400004,521.382204,37416.008088,50104.73350800001,2636.721036,0.0,67773.531924,92946.33198000002,738833.040432,187260.28218,122623.542684,179539.069356,133336.893996,18589.643208,26416.656468,82671.00368400001,42323.398236,202487.50630799998,368384.30654400005
2007,63807.87870000001,28377.251172000004,47036.688336,106991.83180800002,24784.055676,316249.26811199996,463687.89066,10531.602324,367904.959812,808.219872,38379.641976,48967.849836,4868.41104,0.0,74544.50862000001,92962.534896,844798.6038240001,190851.92856,128932.38039600001,197827.3467,140468.35417200002,23082.958836,29398.369824,88199.92429200003,49235.09328,215279.729424,382884.49285200005
2008,77167.580688,32360.40522,47081.445228,110200.427856,26635.291164,324278.21073600004,522305.43526800006,11785.883868,449317.3695480001,1607.982408,40788.22428,46343.772936,5100.276024,0.0,78446.81556,106175.866356,878316.9523200002,221360.09346000003,128652.116004,206598.06467999998,160729.828488,24398.744472,30875.389128000006,96307.620624,43838.140608,223918.898148,386595.46303200006
2009,88680.778272,31655.724912,49423.49928,112816.801044,29307.223188,293481.36597600003,545431.60188,13669.148376,476865.38311200007,1998.9876600000002,41664.437783999994,53028.794628,4766.0019120000015,0.0,101506.286448,118456.336908,875496.4307639999,247818.28298400002,134884.62835200006,216421.637256,163639.15207200006,31349.837304000004,29089.049039999998,107542.52161199998,41187.01698,263850.084468,406959.011532
2010,115076.66821200002,38177.419536,52601.95036800001,134256.27340799998,34002.300707999995,346620.81772800005,602737.8825960001,15160.109724000002,491091.7527,1867.9826879999998,42223.24998,47235.89628,4968.7267679999995,59.57816400000001,110480.65037999999,119589.829272,1004561.239644,286657.55186400004,127500.36919200001,236715.51740399998,171708.999732,36024.190164,30771.430883999998,115848.714132,43760.182392,274668.35698800004,449937.518364
2011,110220.6501,40812.382116,52094.51020800001,131797.19829600002,32796.502307999996,341954.880336,519368.5206720001,13452.355872,431058.7766160001,2141.506332,41499.18478800001,48793.17654,5130.420984,169.48166400000005,114377.891292,124237.512216,992754.044964,310435.01708400005,129564.21038400002,234880.568568,153122.664096,38650.779144,30589.012007999998,125312.096304,52741.16146800001,299509.22754,416941.724376
2012,123435.111996,46431.02584800001,54217.09220399999,138373.44692400002,33680.293920000004,364275.799704,580545.1630439999,14888.721348,525524.372712,2174.498316,46069.621272,55670.456088,5490.108972,260.795772,116582.40896400002,129452.04601199999,1105992.2055600001,334122.96852000005,117050.953752,246401.427996,163561.78000800006,40143.87576,30237.530148,134564.254416,58466.694204,322335.03312000004,452617.32157200004
2013,126746.78705999999,49324.230252,53734.312296,137755.893924,32991.942132000004,373496.598684,627955.7744880001,16412.967756000002,574660.196964,2037.50622,48449.817072000005,56943.28515600001,6166.988928,243.12747600000003,124334.85531600002,119281.05277200001,1121249.658384,325678.6116,117524.81577600002,247543.377696,159649.88529600002,38914.380072,31666.275648000006,147195.49507200002,50366.450376,290659.044096,451270.428012
2014,117636.85454400002,46910.246976,48210.58332000001,139519.83463199998,33058.55412,389289.50136000005,580983.2279279999,18792.158724,548172.448632,1891.5125039999998,52031.540736,60953.695272,7673.399568000002,336.9117960000001,115342.111332,114874.90632000001,1079531.964504,323089.70382,117976.06908,240883.811748,159144.371064,41806.53777600001,27580.168188,154736.005608,50913.37206000001,285452.46521999995,442985.00201999996
2015,126627.96567599999,50716.55059200001,55743.222672,151160.81335200006,36157.790951999996,380415.32755200006,614459.1222720001,17937.465372,574369.214364,2369.017044,57387.044088,58039.891812,8633.684016,359.85546000000005,121218.70381199999,114812.43926400002,1085739.523524,326806.87046400004,121362.56225999999,248781.33071999997,156214.280952,50232.137832,29706.057756,159150.81873600002,55182.52641599999,283790.51496,461874.88065600005
2016,131878.212876,54620.9928,55083.801672,160714.044252,39041.575056,388991.359332,659496.2786640001,21035.655504,560694.5394120001,2495.625876,58538.53969200001,58892.15682,9643.540176,415.163088,119029.509828,114491.479176,1074648.313512,310228.98465600004,119827.76511600001,247320.38872800002,162426.48732000001,48431.730096,29215.90908,160752.85588800002,49255.482996,291571.43155200005,480634.00552799995
2017,133344.472104,54824.42941200001,55802.926439999996,174717.717948,41468.99796,413245.91041199997,660913.8454079999,24605.153712,583927.8462360001,3096.180468,62516.962655999996,64638.41421600001,11323.703016,462.515796,116535.60054,118282.835916,1086693.0672239999,304718.15102399996,120875.63742,248292.019404,165571.06719600002,49291.112664,28456.800372,163754.62401600002,49747.09705200001,307441.455084,514445.178816
2018,134763.6717,70992.301896,57962.85469200001,174632.22349200002,45213.085728,425560.000968,664789.398696,25499.91474,571634.815284,3454.0262640000005,65239.26188400001,69195.87162,12930.973668,570.9957840000002,108910.76785200002,129911.337972,1097879.694408,318906.50446799997,121589.863632,235606.685292,158297.925708,51295.08261600001,27667.797912,163922.43096,49105.80489600001,322889.825988,487679.09202
2019,125551.87434,75159.298332,61215.41214,179340.15448800003,47950.58304,433996.3611,675563.83542,26036.829972000003,581595.379956,3476.7187200000008,63241.614,68686.96608,14592.170304,609.9748920000002,105088.219452,150534.50994000002,1105286.3529480002,337742.79206400004,127880.78184,230418.947016,163218.67174800002,72431.47252800001,27823.546872000003,175641.74470799998,49483.412388,323963.82392399997,505504.2674160001
