country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
AT,2018,bioenergy,"224047,77046875","46039,80990673829","36676,91230444336","233978,99090625002","0,04001597687602043"
CZ,2018,bioenergy,"166713,26516015627","20343,326184448244","23004,498326660156","163922,42973339846","-0,01623433828353882"
DK,2018,bioenergy,"106376,24366015625","87731,41949121094","12966,058857788086","181200,18601757815","0,4126119613647461"
DE,2018,bioenergy,"1082730,1125234375","117757,30714453125","129846,65125781251","1070640,7275234375","-0,011291691102087498"
SK,2018,bioenergy,"51824,37599121094","7459,998407775879","7719,8731144409185","51295,08208447266","-0,005066269543021917"
PL,2018,bioenergy,"311466,64166015625","39538,088219970705","29267,99354663086","321006,2286621094","0,03199344500899315"
UK,2018,bioenergy,"377673,8511445313","168692,90808691407","12383,465280029297","533490,8466445312","0,2929936647415161"
